l,r,D,eff,q,s,w
0.0,0.0,0.0,0.3141592653589793,0.0,0.0,0.0
10.61457979014848,10.614380481911212,10.614978400046565,0.31414156946596206,0.5194759777080533,10.095103812440428,3.280030072120128
21.22915958029696,21.227565464187137,21.232347597236316,0.31408850769081764,1.038720857075535,20.190438723221426,6.559727400504556
31.84373937044544,31.838361196378173,31.85449408379938,0.3140001576347432,1.557504105976382,30.28623526446906,9.83875965853941
42.45831916059392,42.445577419357505,42.48379576335905,0.3138766482655906,2.075596321385865,40.38272283920806,13.1167953525441
53.0728989507424,53.04802909120099,53.12261770725481,0.3137181593699495,2.5927697855396823,50.48012916520272,16.39350423428389
63.68747874089088,63.644538093058145,63.77330797463531,0.3135249207925545,3.108799012297459,60.57867972859342,19.66855770986053
74.30205853103936,74.23393490398666,74.4381935120287,0.3132972114694614,3.623461280384441,70.67859725065492,22.941629242378482
84.91663832118785,84.81506024077134,85.11957615416868,0.3130353582630399,4.136537150656127,80.78010117053172,26.212394747921945
95.53121811133632,95.3867666548831,95.81972874276957,0.31273973460843996,4.647810964496147,90.88340714684017,29.480532983134683
106.1457979014848,105.94792008078002,106.54089138058127,0.3124107589825959,5.157071320736898,100.9887265807479,32.74572592326998
116.76037769163328,116.4974013288429,117.28526783553122,0.3120488932081544,5.66411152864986,111.09626616298343,36.00765912923325
127.37495748178176,127.03410752033051,128.0550221121598,0.31165464060570386,6.168730034969903,121.20622744681187,39.266022103336255
137.98953727193023,137.55695345503227,138.85227519883628,0.3112285440088664,6.670730822830319,131.31880644909992,42.520508631333776
148.60411706207873,148.06487291184567,149.67910200694823,0.31077118365726675,7.169923781191754,141.43419328088697,45.77081711118988
159.2186968522272,158.55681987545722,160.5375285089923,0.31028317498322205,7.666125043264016,151.5525718089632,49.01665086676195
169.8332766423757,169.0317696859438,171.42952908402248,0.3097651663082914,8.159157292854177,161.6741193495215,52.257718445636186
180.4478564325242,179.48872011140793,182.35702408016533,0.3092178364658705,8.648850037989169,171.799006394535,55.493733901288664
191.06243622267263,189.92669233648485,193.32187759416556,0.3086418923664112,9.135039851073765,181.92739637159886,58.724417057417526
201.6770160128211,200.3447318702456,204.32589547683844,0.30803806652119964,9.617570575599688,192.0594454372214,61.94949375552279
212.2915958029696,210.74190936838022,215.37082356218593,0.3074071145407611,10.096293499255543,202.19530230371404,65.16869608406562
222.9061755931181,221.11732137182116,226.4583461234545,0.3067498126231436,10.57106749385785,212.33510809926025,68.38176258972288
233.52075538326656,231.47009095896465,237.5900845521507,0.3060669550470354,11.04175912250579,222.47899626076077,71.5884384696427
244.13533517341503,241.79936831569648,248.7675962616247,0.3053593516835485,11.508242714885217,232.6270924585298,74.78847574573228
254.74991496356353,252.104331219698,259.9923738068051,0.3046278255401816,11.970400411474682,242.77951455208884,77.98163341956545
265.364494753712,262.3841854438069,271.26584421888197,0.3038732103490634,12.428122177946843,252.93637257576515,81.1676776090233
275.97907454386046,272.63816507809224,282.5893685467428,0.3030963482109414,12.881305790967211,263.0977687528933,84.34638166615947
286.59365433400893,282.8655327743945,293.9642416000276,0.3022980873050912,13.329856796898808,273.2637975371101,87.51752627701966
297.20823412415746,293.06557991299087,305.3916918829451,0.30147927967456983,13.77368844483946,283.434545679318,90.68089954285121
307.8228139143059,303.23762669820553,316.8728817148474,0.3006407790946186,14.212721595816232,293.6100923184897,93.83629704434249
318.4373937044544,313.3810221808062,328.4089075226652,0.29978343903163907,14.646884609627406,303.790509094827,96.98352188773522
329.05197349460286,323.4951442154852,340.0008003012205,0.29890811069825907,15.076113211321132,313.97586028328175,100.12238473489035
339.6665532847514,333.57939935285685,351.6495262268943,0.2980156412096658,15.500350338937379,324.166202945814,103.25270381663915
350.28113307489986,343.6332226713148,363.35598741628854,0.2971068718448738,15.919545974403668,334.3615871004962,106.3743049305881
360.8957128650484,353.65607755215933,375.12102281905084,0.29618263641576437,16.333656959380708,344.56205590566765,109.48702142395716
371.5102926551968,363.647455400951,386.9454092332792,0.2952437597458373,16.742646797812565,354.76764585738425,112.59069416190378
382.12487244534526,373.6068753203199,398.82986243452547,0.2942910562595198,17.146485446994582,364.9783869983507,115.68517148250633
392.7394522354938,383.53388373548114,410.7750384047709,0.29332532868242445,17.545149098759783,375.194303136734,118.77030913836698
403.3540320256422,393.42805397927805,422.7815346544904,0.292347366851657,17.938619952555666,385.41541207308654,121.84597022654489
413.9686118157907,403.2889858377757,434.84989162429787,0.29135794663512815,18.326885981881052,395.6417258339097,124.91202510675579
424.5831916059392,413.1163050617488,446.9805941581361,0.29035782895778,18.70994069565467,405.8732509102845,127.96835130914015
435.1977713960877,422.90966284667775,459.1740730371194,0.28934775893234177,19.08778289590025,416.10998850018746,131.01483343208338
445.8123511862362,432.6687352852332,471.43070656525583,0.2883284650915976,19.460416433103813,426.35193475313235,134.05136303102137
456.4269309763846,442.3932227955447,483.7508221979916,0.2873006587187907,19.827849960487573,436.599081015897,137.0778384989818
467.0415107665331,452.082849528324,496.1346982048026,0.28626503327244496,20.19009668834913,446.851414078184,140.09416493956803
477.65609055668165,461.7373627567076,508.5825653586986,0.2852222639014984,20.54717413955702,457.10891641712465,143.10025403336766
488.27067034683006,471.35653224972884,521.094608642364,0.28417300704671333,20.899103907095455,467.3715664397346,146.0960238978749
498.8852501369785,480.9401496352166,533.6709689675839,0.28311790012361493,21.245911414649306,477.6393387223292,149.08139894256283
509.49982992712705,490.48802775291733,546.3117448989202,0.28205756128259973,21.587625680946434,487.91220424618064,152.05630971921056
520.1144097172755,500.0,559.0169943749474,0.280992589241629,21.924279088547383,498.1901306287281,155.02069276803672
